IATA	lat	lon	ICAO	time_zone	name	city	country
'YUY'	48.20610046	-78.83560181	'CYUY'	'America/Toronto'	'Rouyn Noranda Airport'	'Rouyn'	'Canada'
'YVC'	55.15140152	-105.262001	'CYVC'	'America/Regina'	'La Ronge Airport'	'La Ronge'	'Canada'
'YVG'	53.35580063	-110.8239975	'CYVG'	'America/Edmonton'	'Vermilion Airport'	'Vermillion'	'Canada'
'YVM'	67.54579926	-64.03140259	'CYVM'	'America/Toronto'	'Qikiqtarjuaq Airport'	'Broughton Island'	'Canada'
'YVO'	48.05329895	-77.78279877	'CYVO'	'America/Toronto'	'Val-d'Or Airport'	'Val D'or'	'Canada'
'YVP'	58.09609985	-68.42690277	'CYVP'	'America/Toronto'	'Kuujjuaq Airport'	'Quujjuaq'	'Canada'
'YVQ'	65.28160095	-126.7979965	'CYVQ'	'America/Edmonton'	'Norman Wells Airport'	'Norman Wells'	'Canada'
'YVR'	49.19390106	-123.1839981	'CYVR'	'America/Vancouver'	'Vancouver International Airport'	'Vancouver'	'Canada'
'YVT'	55.84189987	-108.4179993	'CYVT'	'America/Regina'	'Buffalo Narrows Airport'	'Buffalo Narrows'	'Canada'
'YVV'	44.7458	-81.107201	'CYVV'	'America/Toronto'	'Wiarton Airport'	'Wiarton'	'Canada'
'YWA'	45.95220184	-77.31919861	'CYWA'	'America/Toronto'	'Petawawa Airport'	'Petawawa'	'Canada'
'YWG'	49.90999985	-97.23989868	'CYWG'	'America/Winnipeg'	'Winnipeg / James Armstrong Richardson International Airport'	'Winnipeg'	'Canada'
'YWK'	52.9219017	-66.86440277	'CYWK'	'America/Halifax'	'Wabush Airport'	'Wabush'	'Canada'
'YWL'	52.18310165	-122.0540009	'CYWL'	'America/Vancouver'	'Williams Lake Airport'	'Williams Lake'	'Canada'
'YWY'	63.20940018	-123.4369965	'CYWY'	'America/Edmonton'	'Wrigley Airport'	'Wrigley'	'Canada'
'YXC'	49.6108017	-115.7819977	'CYXC'	'America/Edmonton'	'Cranbrook/Canadian Rockies International Airport'	'Cranbrook'	'Canada'
'YXD'	53.57249832	-113.5210037	'CYXD'	'America/Edmonton'	'Edmonton City Centre (Blatchford Field) Airport'	'Edmonton'	'Canada'
'YXE'	52.17079926	-106.6999969	'CYXE'	'America/Regina'	'Saskatoon John G. Diefenbaker International Airport'	'Saskatoon'	'Canada'
'YXH'	50.01890182	-110.7210007	'CYXH'	'America/Edmonton'	'Medicine Hat Airport'	'Medicine Hat'	'Canada'
'YXJ'	56.23809814	-120.7399979	'CYXJ'	'America/Dawson_Creek'	'Fort St John Airport'	'Fort Saint John'	'Canada'
'YXL'	50.11389923	-91.90529633	'CYXL'	'America/Winnipeg'	'Sioux Lookout Airport'	'Sioux Lookout'	'Canada'
'YXP'	66.14499664	-65.71360016	'CYXP'	'America/Toronto'	'Pangnirtung Airport'	'Pangnirtung'	'Canada'
'YXR'	47.69740065	-79.84734535	'CYXR'	'America/Toronto'	'Earlton (Timiskaming Regional) Airport'	'Earlton'	'Canada'
'YXS'	53.88940048	-122.6790009	'CYXS'	'America/Vancouver'	'Prince George Airport'	'Prince George'	'Canada'
'YXT'	54.468498	-128.576009	'CYXT'	'America/Vancouver'	'Northwest Regional Airport Terrace-Kitimat'	'Terrace'	'Canada'
'YXU'	43.035599	-81.1539	'CYXU'	'America/Toronto'	'London Airport'	'London'	'Canada'
'YXX'	49.02529907	-122.3610001	'CYXX'	'America/Vancouver'	'Abbotsford Airport'	'Abbotsford'	'Canada'
'YXY'	60.70959854	-135.0670013	'CYXY'	'America/Vancouver'	'Whitehorse / Erik Nielsen International Airport'	'Whitehorse'	'Canada'
'YYB'	46.36360168	-79.42279816	'CYYB'	'America/Toronto'	'North Bay Airport'	'North Bay'	'Canada'
'YYC'	51.11389923	-114.0199966	'CYYC'	'America/Edmonton'	'Calgary International Airport'	'Calgary'	'Canada'
'YYD'	54.8246994	-127.1829987	'CYYD'	'America/Vancouver'	'Smithers Airport'	'Smithers'	'Canada'
'YYE'	58.83639908	-122.5970001	'CYYE'	'America/Vancouver'	'Fort Nelson Airport'	'Fort Nelson'	'Canada'
'YYF'	49.46310043	-119.6019974	'CYYF'	'America/Vancouver'	'Penticton Airport'	'Penticton'	'Canada'
'YYG'	46.29000092	-63.12110138	'CYYG'	'America/Halifax'	'Charlottetown Airport'	'Charlottetown'	'Canada'
'YYH'	69.54669952	-93.5766983	'CYYH'	'America/Edmonton'	'Taloyoak Airport'	'Spence Bay'	'Canada'
'YYJ'	48.64690018	-123.4260025	'CYYJ'	'America/Vancouver'	'Victoria International Airport'	'Victoria'	'Canada'
'YYL'	56.86389923	-101.0759964	'CYYL'	'America/Winnipeg'	'Lynn Lake Airport'	'Lynn Lake'	'Canada'
'YYN'	50.29190063	-107.6910019	'CYYN'	'America/Regina'	'Swift Current Airport'	'Swift Current'	'Canada'
'YYQ'	58.73920059	-94.06500244	'CYYQ'	'America/Winnipeg'	'Churchill Airport'	'Churchill'	'Canada'
'YYR'	53.31919861	-60.42580032	'CYYR'	'America/Halifax'	'Goose Bay Airport'	'Goose Bay'	'Canada'
'YYT'	47.61859894	-52.75189972	'CYYT'	'America/St_Johns'	'St. John's International Airport'	'St. John's'	'Canada'
'YYU'	49.41389847	-82.46749878	'CYYU'	'America/Toronto'	'Kapuskasing Airport'	'Kapuskasing'	'Canada'
'YYW'	50.29029846	-88.90969849	'CYYW'	'America/Toronto'	'Armstrong Airport'	'Armstrong'	'Canada'
'YYY'	48.60860062	-68.20809937	'CYYY'	'America/Toronto'	'Mont Joli Airport'	'Mont Joli'	'Canada'
'YYZ'	43.67720032	-79.63059998	'CYYZ'	'America/Toronto'	'Lester B. Pearson International Airport'	'Toronto'	'Canada'
'YZD'	43.74250031	-79.46559906	'CYZD'	'America/Toronto'	'Downsview Airport'	'Toronto'	'Canada'
'YZE'	45.88529968	-82.56780243	'CYZE'	'America/Toronto'	'Gore Bay Manitoulin Airport'	'Gore Bay'	'Canada'
'YZF'	62.46279907	-114.4400024	'CYZF'	'America/Edmonton'	'Yellowknife Airport'	'Yellowknife'	'Canada'
'YZH'	55.29309845	-114.7770004	'CYZH'	'America/Edmonton'	'Slave Lake Airport'	'Slave Lake'	'Canada'
'YZP'	53.25429916	-131.8139954	'CYZP'	'America/Vancouver'	'Sandspit Airport'	'Sandspit'	'Canada'
'YZR'	42.99940109	-82.30889893	'CYZR'	'America/Toronto'	'Chris Hadfield Airport'	'Sarnia'	'Canada'
'YZT'	50.68059921	-127.3669968	'CYZT'	'America/Vancouver'	'Port Hardy Airport'	'Port Hardy'	'Canada'
'YZU'	54.14390182	-115.7870026	'CYZU'	'America/Edmonton'	'Whitecourt Airport'	'Whitecourt'	'Canada'
'YZV'	50.22330093	-66.26560211	'CYZV'	'America/Toronto'	'Sept-Îles Airport'	'Sept-iles'	'Canada'
'YZW'	60.17279816	-132.7429962	'CYZW'	'America/Vancouver'	'Teslin Airport'	'Teslin'	'Canada'
'YZX'	44.9844017	-64.91690063	'CYZX'	'America/Halifax'	'CFB Greenwood'	'Greenwood'	'Canada'
'ZFA'	62.20750046	-133.3760071	'CZFA'	'America/Vancouver'	'Faro Airport'	'Faro'	'Canada'
'ZFM'	67.40750122	-134.8609924	'CZFM'	'America/Edmonton'	'Fort Mcpherson Airport'	'Fort Mcpherson'	'Canada'
'\N'	36.50360107	2.814169884	'DAAB'	'Africa/Algiers'	'Blida Airport'	'Blida'	'Algeria'
'\N'	35.33250046	4.206389904	'DAAD'	'Africa/Algiers'	'Bou Saada Airport'	'Bou Saada'	'Algeria'
'BJA'	36.7120018	5.069920063	'DAAE'	'Africa/Algiers'	'Soummam Airport'	'Bejaja'	'Algeria'
'ALG'	36.69100189	3.215409994	'DAAG'	'Africa/Algiers'	'Houari Boumediene Airport'	'Algier'	'Algeria'
'DJG'	24.2928009	9.452440262	'DAAJ'	'Africa/Algiers'	'Djanet Inedbirene Airport'	'Djanet'	'Algeria'
'QFD'	36.545799	2.87611	'DAAK'	'Africa/Algiers'	'Boufarik Airport'	'Boufarik'	'Algeria'
'\N'	26.71010017	0.285647005	'DAAN'	'Africa/Algiers'	'Reggane Airport'	'Reggan'	'Algeria'
'VVZ'	26.7234993	8.622650146	'DAAP'	'Africa/Algiers'	'Illizi Takhamalt Airport'	'Illizi'	'Algeria'
'\N'	35.52539825	2.878710032	'DAAQ'	'Africa/Algiers'	'Ain Oussera Airport'	'Ain Oussera'	'Algeria'
'TMR'	22.81150055	5.451079845	'DAAT'	'Africa/Algiers'	'Aguenar – Hadj Bey Akhamok Airport'	'Tamanrasset'	'Algeria'
'GJL'	36.79510117	5.87361002	'DAAV'	'Africa/Algiers'	'Jijel Ferhat Abbas Airport'	'Jijel'	'Algeria'
