OACI	LATITUDE	LONGITUDE	ALTITUDE
SSCB	21d47'17"S	47d3'20"W	712
SSCD	18d50'21"S	52d29'17"W	817
SSCI	18d28'53"S	54d42'57"W	292
SSCK	27d10'50"S	52d3'4"W	750
SNPU	21d33'41"S	45d45'17"W	898
SSCN	29d22'14"S	50d49'56"W	827
SSCP	23d9'10"S	50d36'10"W	565
SSCR	24d30'46"S	54d3'14"W	525
SSCT	23d41'30"S	52d38'32"W	539
SSDC	26d18'18"S	53d37'48"W	830
SSEE	29d27'12"S	51d56'3"W	32
SSEP	30d10'56"S	53d34'46"W	153
SSER	27d39'36"S	52d16'34"W	761
SSES	30d33'32"S	52d34'57"W	445
SSEZ	28d44'17"S	52d51'20"W	390
SSFB	26d3'32"S	53d3'48"W	640
SSFL	7d6'0"S	40d37'37"W	447
SSGA	29d16'6"S	51d31'56"W	680
SSGB	25d52'50"S	48d36'44"W	15
SSGR	28d53'41"S	51d51'19"W	475
SSGW	24d13'15"S	53d2'41"W	493
SSGY	24d4'47"S	54d11'17"W	271
SSHZ	27d38'20"S	54d20'28"W	324
SSIE	20d35'58"S	54d36'9"W	528
SSIJ	28d22'12"S	53d50'44"W	365
SSIQ	29d10'23"S	56d32'12"W	70
SSIR	28d36'15"S	53d4'43"W	457
SSJA	27d10'22"S	51d33'6"W	776
SSJI	21d29'34"S	56d9'10"W	321
SSJK	29d9'11"S	53d44'36"W	498
SSKG	20d30'20"S	54d31'29"W	618
SSKK	29d45'49"S	50d2'13"W	10
SSK	24d0'9"S	52d21'25"W	565
SSKS	30d0'8"S	52d56'25"W	77
SSKU	27d17'14"S	50d36'14"W	978
SSKW	11d29'44"S	61d27'3"W	249
SSKZ	28d19'17"S	52d48'56"W	565
SSLA	28d22'36"S	48d44'34"W	6
SSLG	28d22'35"S	55d2'15"W	200
SSLN	27d9'37"S	49d32'36"W	334
SSLO	22d55'4"S	53d8'59"W	470
SSLS	12d16'17"S	40d31'50"W	404
SSLT	29d48'45"S	55d53'32"W	140
SSF	26d9'32"S	49d49'56"W	820
SSJ	21d38'2"S	55d8'42"W	391
SSR	24d31'46"S	51d39'6"W	886
SST	31d6'15"S	50d54'44"W	18
SSNB	23d2'29"S	54d11'6"W	405
SSNG	29d43'11"S	51d29'20"W	24
SSNH	29d41'46"S	51d4'54"W	20
SSNP	28d48'9"S	51d36'15"W	690
SSNQ	21d11'5"S	55d49'49"W	300
SSOE	26d46'52"S	53d30'12"W	665
SSOG	23d21'21"S	51d29'27"W	792
SSOI	22d18'23"S	48d46'26"W	536
SSOL	21d14'38"S	44d58'10"W	959
SSOS	29d54'8"S	50d15'2"W	12
SSPB	26d13'4"S	52d41'39"W	822
SSPG	25d32'26"S	48d31'52"W	5
SSPI	23d5'24"S	52d29'19"W	474
SSPL	27d54'6"S	53d19'44"W	635
SSP	21d42'46"S	57d52'45"W	81
SSPN	19d39'4"S	51d11'58"W	442
SSPS	26d28'20"S	51d58'32"W	1100
SSPT	24d20'41"S	53d49'44"W	372
SSQC	23d40'28"S	49d49'8"W	705
SSQP	10d27'55"S	39d17'10"W	443
SSQT	24d48'27"S	49d57'37"W	1010
SSQZ	12d6'23"S	45d53'42"W	775
